feat1,feat2,label
9.202524891431969,-4.205063233584824,0
8.938699229114336,6.758940063677016,3
4.594564516611323,5.678587387118106,2
9.17467482027864,7.0316524110496195,3
4.619079191178773,7.762226011592613,2
-1.7998138892079258,-6.305495262540854,1
4.306226720120984,4.1990408038526725,2
5.511696800652943,5.854710848648399,2
7.5988070735666025,4.963960269490202,3
8.70747203570381,5.570759817062368,3
9.01295377884562,6.537053975743865,3
6.329324031553534,5.253088057963996,2
-0.9664017353647145,-6.100678025735148,1
5.605781790360167,4.543952267735882,2
6.476907481126566,5.823757641247285,3
8.408040666427377,6.79043805409403,3
-0.8122774021689182,-7.55490576994571,1
10.057315042511377,-5.368155145527098,0
8.576269142214473,-4.929262019666116,0
-0.3736125044271902,-5.055386986735785,1
-0.42469036427067386,-8.859664219625364,1
9.252514070189473,-5.555893683633686,0
4.992096935072332,5.86170792563189,2
9.746777869695654,-6.0593207202927,0
-1.4220746899926087,-3.4603849771812696,1
-0.4819738100463354,-6.876162172959135,1
5.192067327652643,5.514584631381521,2
7.43572313865944,6.649733552101108,3
9.001752507966991,6.614797287921937,3
5.996866980585587,6.3937299135737975,3
-1.1763386139545675,-4.195163122749866,1
-0.07748149879013622,-6.742534018014427,1
9.719727907961065,5.624050230344606,3
4.881966284404575,4.354108557207074,2
8.762596756127502,-4.666826475242005,0
8.290829624329332,-3.3154956333997694,0
7.954353357057741,6.608985484356954,3
8.267544204137137,-3.491213261142283,0
1.0249579223430925,-7.2381020136173575,1
5.559436723257138,4.6038934436064,2
-0.05227135646019909,-7.4289891259855505,1
-0.5257947335876327,-5.924688853747275,1
2.93331300451746,7.438416078222309,2
2.7790810259076926,4.80273906757106,2
-1.5856060258674805,-5.161883406717883,1
-0.5826298245968741,-6.9738717680642575,1
6.634260069907704,7.16225605570406,3
7.830225872722532,-4.598275530789655,0
4.55905220069838,5.807397538881913,2
5.623119554072168,4.657142012230356,2
8.524470881306113,-5.438759547016155,0
7.561236649934829,6.724350057658066,3
1.6930672786640444,-4.3546962716943804,1
10.291907514568612,-6.277251856111568,0
-1.5473235735345092,-6.2416957931508765,1
10.371199813182029,5.470345924257456,3
6.86207157667869,4.659634789170634,3
9.95814354826913,-4.798138112782611,0
9.22242013919331,-5.373614560172506,0
-0.2793414877814532,-6.594392301951478,1
5.5217933788100835,5.346146875035401,2
8.175284982257791,5.458862590630924,3
-2.7350003742658338,-6.148429030399559,1
7.268595424189204,-4.475362619978298,0
-2.093204120278946,-5.730671867378806,1
3.4732306338739964,4.461646158963259,2
-1.457554013222889,-6.248970486794252,1
-0.21556069445166537,-6.27049771579237,1
4.234757964573134,5.7702705937873455,2
9.36542697434572,-4.541194742709797,0
8.726239163320072,-6.034017004879821,0
8.6326841877569,6.5005311064158615,3
-0.5736903356696553,-5.872012857227915,1
8.988590357230315,-5.035034015158218,0
9.339884237086675,6.3160447721446396,3
7.798337174208388,-4.681878610346754,0
7.104019774280556,4.486419911439602,2
10.141224778320595,6.699503390708541,3
4.6935170832102875,5.483431613399361,2
4.088543822873522,4.856126022765048,2
7.201319485042546,7.361979257432619,3
6.765345800039927,5.5649074487534556,3
6.228360586594367,6.11635949696025,2
5.844260151816822,5.790007554351101,2
9.169075666719868,-5.879233367697069,0
3.6130517467849934,7.089966832342676,2
4.171663358274548,5.859897976933003,2
8.108222109627208,8.12924313700984,3
-0.6265063120289387,-6.260106103427626,1
7.777344189087971,7.7673826541120645,3
6.400122568932275,6.946670447320247,2
-1.381649010233694,-6.0892244157477045,1
9.398921961191773,-6.766769405433292,0
4.953969557155976,6.889933985903223,2
